,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
0,JimsS_ervices,ai.313,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,19.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
1,Brian1126,account.c6ee0b6256ff43e2822083103e675fd7,2.0,0.0,6.0,364.6321,byplayer,1.0,5.0,3.0,1.0,4.0,101.68948,0.0,0.0,0.0,0.0,0.0,1181.0,0.0,2176.489,6.0,2.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
2,DHGFJY,account.9f31d46410b14ddbbe61bb4db366de9b,0.0,0.0,3.0,15.519489,byplayer,0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,17.403526,0.0,669.0,0.0,1205.48,8.0,13.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
3,leedo96,account.480986b979624325b4e9b05e961da0f5,1.0,0.0,2.0,345.78006,byplayer,0.0,15.0,18.0,1.0,1.0,234.25139,2.0,0.0,0.0,0.0,1.0,965.0,0.0,1835.5962,9.0,5.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
4,Gang_53,account.787eaa6fea744066830e3d18c8ee5596,1.0,0.0,3.0,31.644997,byplayer,1.0,2.0,21.0,1.0,1.0,6.6332035,0.0,0.0,0.0,0.0,0.0,525.0,0.0,888.84564,4.0,14.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
5,HYUNseo236,account.ac195e4fbb8e41988741ba672b53dafd,1.0,0.0,0.0,176.01839,byplayer,1.0,0.0,25.0,1.0,1.0,3.3003168,0.0,0.0,0.0,0.0,0.0,123.0,0.0,88.85303,1.0,28.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
6,DODO_317,account.7d399199798841faaf5d0ff1253c3372,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,357.93988,4.0,27.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
7,SSK666,account.4bb915f18f494d2099320de1a8d60076,3.0,0.0,5.0,603.3496,byplayer,0.0,4.0,5.0,2.0,4.0,219.50647,0.0,0.0,0.0,0.0,0.0,817.0,0.0,1584.415,6.0,9.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
8,JYDQO,account.6d8b0fec56a14ef3b9703f295e4a65cb,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0,440.6331,4.0,21.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
9,M1RA,account.01dadccfac33462180ecb8479122efee,1.0,0.0,0.0,154.56871,byplayer,0.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,315.92368,2.0,24.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
